OrderID,CustomerID,PaymentID,OrderDate,ShipperID,ShipDate,DeliveryDate,Total_order_amount
7655500,57083,2,12-01-2020,7,13-01-2020,19-01-2020,25112
7655501,57086,3,20-01-2020,2,24-01-2020,27-01-2020,22453
7655502,57086,4,06-02-2020,7,11-02-2020,21-02-2020,13293
7655503,57088,4,09-02-2020,1,13-02-2020,26-02-2020,16063
7655504,57090,4,11-02-2020,3,15-02-2020,20-02-2020,15193
7655505,57094,4,15-02-2020,1,24-02-2020,27-02-2020,13581
7655506,57092,4,20-02-2020,8,23-02-2020,27-02-2020,74120
7655507,57095,6,23-02-2020,8,04-03-2020,11-03-2020,12092
7655508,57105,4,26-02-2020,5,28-02-2020,08-03-2020,48258
7655509,57095,5,26-02-2020,7,27-02-2020,08-03-2020,7509
7655510,57103,3,02-03-2020,7,07-03-2020,14-03-2020,11803.1
7655511,57100,3,05-03-2020,3,07-03-2020,17-03-2020,3851.35
7655512,57107,4,05-03-2020,8,14-03-2020,27-03-2020,20135
7655513,57101,3,06-03-2020,4,12-03-2020,26-03-2020,4837.35
7655514,57096,5,07-03-2020,7,14-03-2020,22-03-2020,10991
7655515,57110,4,12-03-2020,5,20-03-2020,28-03-2020,39769
7655516,57101,3,13-03-2020,2,14-03-2020,19-03-2020,33272.4
7655517,57095,6,13-03-2020,3,19-03-2020,30-03-2020,26176
7655518,57099,6,15-03-2020,6,22-03-2020,05-04-2020,20100
7655519,57121,4,15-03-2020,1,21-03-2020,26-03-2020,2555
7655520,57083,5,18-03-2020,1,19-03-2020,06-04-2020,14685
7655521,57094,4,18-03-2020,8,19-03-2020,24-03-2020,23460
7655522,57083,3,20-03-2020,8,24-03-2020,03-04-2020,23414.1
7655523,57109,4,20-03-2020,2,23-03-2020,04-04-2020,6417
7655524,57120,6,21-03-2020,7,30-03-2020,15-04-2020,15089
7655525,57105,4,27-03-2020,5,01-04-2020,07-04-2020,12892
7655526,57087,4,27-03-2020,5,31-03-2020,20-04-2020,13788
7655527,57084,5,30-03-2020,5,07-04-2020,18-04-2020,21730
7655528,57127,4,31-03-2020,6,01-04-2020,09-04-2020,14006
7655529,57132,4,01-04-2020,8,08-04-2020,13-04-2020,24438
7655530,57091,5,02-04-2020,1,12-04-2020,15-04-2020,12918
7655531,57104,3,02-04-2020,7,06-04-2020,26-04-2020,4233.85
7655532,57112,4,04-04-2020,8,09-04-2020,26-04-2020,4845
7655533,57132,5,05-04-2020,8,15-04-2020,19-04-2020,3705
7655534,57108,6,05-04-2020,8,09-04-2020,28-04-2020,80128
7655535,57139,3,06-04-2020,4,16-04-2020,22-04-2020,5899
7655536,57138,4,06-04-2020,4,09-04-2020,20-04-2020,41888
7655537,57113,6,09-04-2020,8,14-04-2020,17-04-2020,56068
7655538,57107,4,10-04-2020,3,14-04-2020,03-05-2020,15779
7655539,57113,4,10-04-2020,5,20-04-2020,08-05-2020,11651
7655540,57108,4,12-04-2020,1,17-04-2020,25-04-2020,14498
7655541,57138,5,14-04-2020,6,23-04-2020,05-05-2020,1314
7655542,57090,3,15-04-2020,4,22-04-2020,05-05-2020,14005.45
7655543,57149,4,15-04-2020,7,20-04-2020,03-05-2020,54861
7655544,57123,5,17-04-2020,2,23-04-2020,09-05-2020,13216
7655545,57120,4,17-04-2020,2,23-04-2020,03-05-2020,1910
7655546,57131,4,18-04-2020,4,28-04-2020,29-04-2020,12409
7655547,57160,4,19-04-2020,6,26-04-2020,07-05-2020,15575
7655548,57135,3,20-04-2020,4,29-04-2020,07-05-2020,4146.3
7655549,57144,6,20-04-2020,5,21-04-2020,30-04-2020,24282
7655550,57131,3,22-04-2020,3,25-04-2020,15-05-2020,20632.05
7655551,57150,1,23-04-2020,5,27-04-2020,05-05-2020,6111
7655552,57091,4,24-04-2020,8,25-04-2020,14-05-2020,960
7655553,57127,5,26-04-2020,3,05-05-2020,23-05-2020,11340
7655554,57089,3,27-04-2020,6,29-04-2020,10-05-2020,20439.1
7655555,57135,4,27-04-2020,4,05-05-2020,22-05-2020,16957
7655556,57160,3,28-04-2020,3,06-05-2020,17-05-2020,15128.3
7655557,57166,4,29-04-2020,3,06-05-2020,10-05-2020,32277
7655558,57145,6,29-04-2020,1,02-05-2020,03-05-2020,19422
7655559,57157,4,01-05-2020,6,06-05-2020,25-05-2020,27427
7655560,57110,3,01-05-2020,4,04-05-2020,05-05-2020,6669.95
7655561,57172,4,03-05-2020,2,12-05-2020,16-05-2020,7055
7655562,57133,5,03-05-2020,8,05-05-2020,20-05-2020,23571
7655563,57125,4,03-05-2020,4,06-05-2020,16-05-2020,3348
7655564,57081,4,05-05-2020,6,06-05-2020,21-05-2020,8034
7655565,57142,4,06-05-2020,2,13-05-2020,01-06-2020,21922
7655566,57143,4,07-05-2020,4,17-05-2020,20-05-2020,278
7655567,57086,3,08-05-2020,6,18-05-2020,24-05-2020,5292.95
7655568,57136,4,09-05-2020,3,11-05-2020,31-05-2020,9354
7655569,57082,6,09-05-2020,8,10-05-2020,12-05-2020,5401
7655570,57084,6,10-05-2020,2,16-05-2020,24-05-2020,17685
7655571,57160,5,10-05-2020,6,18-05-2020,23-05-2020,42981
7655572,57125,4,10-05-2020,8,11-05-2020,20-05-2020,960
7655573,57179,6,13-05-2020,1,14-05-2020,26-05-2020,15050
7655574,57158,5,13-05-2020,1,15-05-2020,16-05-2020,26015
7655575,57117,4,13-05-2020,3,15-05-2020,26-05-2020,24659
7655576,57158,6,14-05-2020,5,16-05-2020,02-06-2020,61072
7655577,57105,6,16-05-2020,2,26-05-2020,13-06-2020,28359
7655578,57117,5,17-05-2020,5,20-05-2020,01-06-2020,84939
7655579,57176,4,17-05-2020,1,19-05-2020,05-06-2020,2834
7655580,57144,4,17-05-2020,6,22-05-2020,09-06-2020,18785
7655581,57157,5,17-05-2020,1,18-05-2020,07-06-2020,30666
7655582,57085,6,17-05-2020,8,25-05-2020,28-05-2020,11122
7655583,57095,5,17-05-2020,2,27-05-2020,16-06-2020,10111
7655584,57177,4,17-05-2020,2,25-05-2020,29-05-2020,36870
7655585,57137,4,18-05-2020,7,24-05-2020,05-06-2020,38466
7655586,57169,4,18-05-2020,5,25-05-2020,04-06-2020,8985
