ProductID,Product,Category_ID,Sub_Category,Brand,Sale_Price,Market_Price,Type,Rating
1,Original Disinfectant Toilet Cleaner Liquid,5001,All Purpose Cleaners,Harpic,489,534,Toilet Cleaners,4.2
2,Surface Disinfectant Spray,5001,All Purpose Cleaners,Savlon,257,318,Disinfectant Spray & Cleaners,4.4
3,Harpic Disinfectant Toilet Cleaner Original200ml+Lizol Floor Cleaner Citrus200ml,5001,All Purpose Cleaners,bb Combo,74,76,Toilet Cleaners,
4,"Harpic Toilet Cleaner Liquid - Original 1 L + Lizol Floor Cleaner, Citrus - 2L",5001,All Purpose Cleaners,bb Combo,462,558,Toilet Cleaners,
5,Disinfectant Bathroom Cleaner Liquid - Lemon,5001,All Purpose Cleaners,Harpic,299,362,Toilet Cleaners,4.2
6,"Super Saver Pack Toilet Cleaner Original, 500ml + Bathroom Cleaner Lemon, 500ml",5001,All Purpose Cleaners,Harpic,162,184,Toilet Cleaners,
7,Original 1 ltr + Bathroom Cleaner Lemon 500 ml,5001,All Purpose Cleaners,Harpic,247,273,Toilet Cleaners,
8,Disinfectant Toilet Cleaner Liquid - 1 L + Bathroom Cleaner Liquid - 500 ml,5001,All Purpose Cleaners,Harpic,247,273,Toilet Cleaners,
9,"Harpic Bathroom Cleaner - Lemon 1 L + Harpic Toilet Cleaner, Original - 1 L",5001,All Purpose Cleaners,Harpic,318,359,Toilet Cleaners,
10,"Lizol Floor Cleaner, Floral - 2L + Harpic Toilet Cleaner Liquid - Original 1L",5001,All Purpose Cleaners,bb Combo,483,540,Floor & Other Cleaners,
11,Double Concentrate Surface Cleaner 900 ml + Harpic Power Plus Toilet Cleaner 1 L,5001,All Purpose Cleaners,Lizol,415,503,Floor & Other Cleaners,
12,"Lizol Floor Cleaner, Citrus - 500ml + Harpic Bathroom Cleaning Liquid - Lemon 500ml",5001,All Purpose Cleaners,bb Combo,172,188,Floor & Other Cleaners,
13,Liquid Disinfectant Cleaner for Home - Lime Fresh,5001,All Purpose Cleaners,Dettol,317,386,Disinfectant Spray & Cleaners,4.4
14,"Disinfectant Floor Cleaner Liquid - Floral, Kills 99.9% Germs",5001,All Purpose Cleaners,Lizol,445,564,Floor & Other Cleaners,4.3
15,"Floor Cleaner - Citrus 500 ml + Floral - 500 ml, Kills 99.9% Germs",5001,All Purpose Cleaners,Lizol,162,191,Floor & Other Cleaners,
16,Disinfectant Surface & Floor Cleaner Liquid - [Citrus 2 L + Floral 2 L],5001,All Purpose Cleaners,Lizol,613,742,Floor & Other Cleaners,
17,Disinfectant Surface & Floor Cleaner Liquid - [Citrus 975 ml + Floral 975 ml],5001,All Purpose Cleaners,Lizol,333,376,Floor & Other Cleaners,
18,Disinfectant Surface & Floor Cleaner Liquid - [Citrus 2 L + Lavender 2 L],5001,All Purpose Cleaners,Lizol,631,742,Floor & Other Cleaners,
19,"Disinfectant Surface & Floor Cleaner - [Citrus, Floral & Lavender (500 ml Each)]",5001,All Purpose Cleaners,Lizol,253,289,Floor & Other Cleaners,
20,Glass Cleaner Liquid Spray,5001,All Purpose Cleaners,Colin,251,279,"Kitchen, Glass & Drain",4.3
21,Disinfectant Toilet Cleaner - White & Shine Bleach,5001,All Purpose Cleaners,Harpic,77,89,Toilet Cleaners,4.3
22,Disinfectant Bathroom Cleaner Liquid - Floral,5001,All Purpose Cleaners,Harpic,307,362,Toilet Cleaners,4.3
23,"Bathroom Cleaner Liquid - Lemon 1 L + Toilet Cleaner - Bleach, White & Shine - 500 ml",5001,All Purpose Cleaners,Harpic,228,270,Toilet Cleaners,
24,Disinfectant Spray Sanitizer For Germ-Protection - Original Pine,5001,All Purpose Cleaners,Dettol,287,318,Disinfectant Spray & Cleaners,4.2
