OrderDetailID,OrderID,ProductID,Quantity,SupplierID
1,7655500,14955,2,3
2,7655500,19946,4,2
3,7655500,6299,18,2
4,7655500,12711,9,4
5,7655500,12743,1,3
6,7655500,17791,2,4
7,7655500,9268,17,4
8,7655500,8703,14,1
9,7655501,17335,14,3
10,7655501,13301,19,1
11,7655501,6232,13,6
12,7655501,17087,9,1
13,7655501,11332,8,3
14,7655502,12452,19,4
15,7655502,21988,8,6
16,7655502,11536,11,2
17,7655502,20138,16,4
18,7655502,11865,3,3
19,7655503,12236,16,4
20,7655503,7689,9,4
21,7655503,11493,12,2
22,7655503,6315,16,5
23,7655503,9896,12,6
24,7655503,13271,17,2
25,7655503,4245,2,2
26,7655503,3971,18,6
27,7655503,17363,16,1
28,7655504,6199,7,2
29,7655504,10618,16,2
30,7655504,16783,16,5
31,7655504,10768,19,4
32,7655504,10148,20,1
33,7655504,8190,19,6
34,7655505,5120,6,5
35,7655505,2043,7,5
36,7655505,21870,7,3
37,7655505,11942,6,5
38,7655505,2819,10,4
39,7655505,13585,7,3
40,7655505,5952,15,4
41,7655506,1066,4,1
42,7655506,4705,10,4
43,7655506,14391,10,1
44,7655506,19049,6,1
45,7655506,9914,5,3
46,7655506,4817,15,1
47,7655506,14343,19,2
48,7655506,21992,5,6
49,7655506,19288,9,4
50,7655506,2668,4,2
51,7655507,18535,7,1
52,7655507,6324,3,4
53,7655507,11503,2,5
54,7655507,11530,18,3
55,7655508,18524,18,3
56,7655508,12872,10,2
57,7655508,7848,11,4
58,7655508,2594,15,2
59,7655508,7681,10,2
60,7655508,10252,9,4
61,7655508,11742,20,6
62,7655508,8692,7,6
63,7655509,14821,2,2
64,7655509,17022,15,4
65,7655509,4968,15,1
66,7655509,10001,15,5
67,7655509,638,15,5
68,7655509,11428,8,2
69,7655509,1937,3,3
70,7655510,6812,18,6
71,7655510,16492,1,2
72,7655510,15081,20,1
73,7655510,11418,19,2
74,7655511,1749,2,3
75,7655511,9908,1,1
76,7655511,14503,7,3
77,7655511,6136,4,5
78,7655511,5792,2,3
79,7655511,7186,6,1
80,7655512,12861,5,3
81,7655512,17718,19,1
82,7655512,14698,20,2
83,7655512,8671,5,2
84,7655512,9609,6,2
85,7655512,14458,6,6
86,7655512,14126,8,3
87,7655513,9104,15,5
88,7655513,9727,1,1
89,7655513,5391,18,2
90,7655514,21364,18,3
91,7655514,17909,13,5
92,7655514,7852,19,2
93,7655515,18716,16,4
94,7655515,3029,2,2
95,7655515,10934,2,5
96,7655515,4684,7,3
97,7655515,8953,6,4
98,7655515,16802,10,6
99,7655516,20736,7,1
100,7655516,7740,17,4
101,7655516,7883,9,3
102,7655516,12643,14,1
103,7655516,6556,12,6
104,7655516,21258,18,5
105,7655516,21664,8,3
106,7655516,17592,17,2
107,7655516,12906,9,2
108,7655516,19967,7,4
109,7655517,7347,14,1
110,7655517,14565,16,3
111,7655517,3452,8,2
112,7655517,5292,11,6
113,7655517,19480,2,2
114,7655517,10620,18,2
115,7655517,18059,9,2
116,7655517,18471,5,5
117,7655517,8475,18,3
118,7655518,1875,8,3
119,7655518,19881,16,2
120,7655518,7458,16,5
121,7655518,7718,8,5
122,7655518,5334,14,4
123,7655518,12237,6,6
124,7655518,415,7,3
125,7655518,15993,15,4
126,7655518,10281,17,3
127,7655518,7061,16,3
128,7655519,7616,20,5
129,7655519,415,3,5
130,7655519,17335,2,1
131,7655520,16921,15,2
132,7655520,11961,9,3
133,7655520,4481,2,2
134,7655520,413,2,1
135,7655521,13617,10,3
136,7655521,2668,18,4
137,7655521,2548,19,2
138,7655521,15488,3,6
139,7655521,6948,5,1
140,7655521,2196,9,6
141,7655521,454,1,6
142,7655521,664,17,1
143,7655521,9455,1,1
144,7655521,13223,8,4
145,7655522,4512,11,4
146,7655522,2788,7,6
147,7655522,14050,20,3
148,7655522,13698,2,4
149,7655522,4008,12,4
150,7655522,9879,13,3
151,7655522,6612,11,6
152,7655522,1209,12,4
153,7655522,3783,3,3
154,7655522,9150,5,3
155,7655523,17140,8,6
156,7655523,8848,3,6
157,7655523,21737,5,6
158,7655524,4081,3,5
159,7655524,15713,13,2
160,7655524,5347,5,4
161,7655524,7949,11,4
162,7655524,691,2,4
163,7655524,11136,7,4
164,7655524,6022,12,6
165,7655524,2203,19,1
166,7655524,21423,15,1
167,7655525,699,14,6
168,7655525,11733,11,4
169,7655525,907,19,1
170,7655525,2763,9,5
